Date,Firm,To Grade,From Grade,Action
2016-05-20,Citigroup,Neutral,,main
2016-06-03,Deutsche Bank,Sell,,main
2016-06-07,Standpoint Research,Buy,Hold,up
2016-06-17,Wolfe Research,Outperform,Peer Perform,up
2016-07-25,Standpoint Research,Hold,Buy,down
2016-07-25,Wolfe Research,Outperform,Peer Perform,up
2016-08-09,Deutsche Bank,Sell,,main
2016-08-09,Citigroup,Neutral,,main
2016-08-09,Mizuho,Neutral,Underperform,up
2016-08-19,Nomura,Neutral,,main
2016-08-19,Deutsche Bank,Sell,,main
2016-08-19,Jefferies,Buy,,main
2016-08-19,UBS,Sell,,main
2016-08-19,Citigroup,Neutral,,main
2016-08-19,Baird,Neutral,,main
2016-08-19,Wedbush,Neutral,,main
2016-08-22,Citigroup,Neutral,,main
2016-10-07,Deutsche Bank,Hold,Sell,up
2016-11-18,Citigroup,Sell,Neutral,down
2016-11-28,PiperJaffray,Neutral,Underweight,up
2017-03-09,Guggenheim,Neutral,,init
2017-04-20,JP Morgan,Neutral,Underweight,up
2017-06-05,Oppenheimer,Outperform,Perform,up
2017-08-15,FBR Capital,Neutral,,main
2017-08-18,Deutsche Bank,Hold,,main
2017-09-19,Credit Suisse,Neutral,Underperform,up
2017-09-20,Barclays,Overweight,,init
2017-10-03,Oppenheimer,Outperform,,main
2017-11-17,Nomura,Neutral,,main
2017-11-17,KeyBanc,Overweight,,main
2017-11-17,Buckingham,Neutral,,main
2017-11-17,BMO Capital,Market Perform,,main
2017-11-17,Deutsche Bank,Hold,,main
2017-11-17,Barclays,Overweight,,main
2017-11-30,Citigroup,Sell,Neutral,down
2017-12-14,Oppenheimer,Perform,Outperform,down
2018-01-25,Barclays,Overweight,Overweight,main
2018-02-20,KeyBanc,Sector Weight,Overweight,down
2018-02-26,Deutsche Bank,Hold,Hold,main
2018-03-02,Barclays,Overweight,Overweight,main
2018-03-02,Baird,Neutral,Neutral,main
2018-03-02,BMO Capital,Market Perform,Market Perform,main
2018-03-02,Wells Fargo,Market Perform,Market Perform,main
2018-03-02,Buckingham,Neutral,Neutral,main
2018-03-05,Nomura,Neutral,Neutral,main
2018-03-12,Credit Suisse,Neutral,,init
2018-05-25,Credit Suisse,Neutral,Neutral,main
2018-05-25,Deutsche Bank,Hold,Hold,main
2018-06-21,UBS,Neutral,,init
2018-08-10,Wedbush,Neutral,,init
2018-08-24,JP Morgan,Neutral,Neutral,main
2018-08-24,B. Riley FBR,Neutral,Neutral,main
2018-08-27,Citigroup,Neutral,Sell,up
2018-10-11,Wedbush,Neutral,Neutral,main
2018-10-18,JP Morgan,Underweight,Neutral,down
2018-10-19,Standpoint Research,Buy,Hold,up
2018-10-26,Goldman Sachs,Neutral,,init
2018-11-21,Credit Suisse,Neutral,Neutral,main
2019-01-11,Barclays,Underweight,Overweight,down
2019-01-22,Goldman Sachs,Sell,Neutral,down
2019-02-26,Credit Suisse,Neutral,Neutral,main
2019-03-01,Deutsche Bank,Hold,Hold,main
2019-05-31,B. Riley FBR,Neutral,,reit
2019-05-31,Nomura,Neutral,,main
2019-05-31,Wedbush,Neutral,,main
2019-05-31,Bank of America,Underperform,,reit
2019-06-11,MKM Partners,Neutral,,main
2019-08-23,Wells Fargo,Market Perform,,main
2019-08-23,Credit Suisse,Neutral,,main
2019-08-23,Morgan Stanley,Underweight,,main
2019-09-13,Wells Fargo,Market Perform,,main
2019-09-25,RBC Capital,Sector Perform,,main
2019-09-30,Wells Fargo,Market Perform,,main
2019-10-18,Credit Suisse,Underperform,Neutral,down
2019-11-08,RBC Capital,Sector Perform,,main
2019-11-08,Deutsche Bank,Hold,,main
2019-11-13,Barclays,Underweight,,init
2020-01-07,Jefferies,Hold,Buy,down
2020-01-17,RBC Capital,Sector Perform,,main
2020-02-04,BMO Capital,Market Perform,,init
2020-03-12,Wedbush,Neutral,,main
2020-03-13,CFRA,Sell,,main
2020-03-13,Baird,Neutral,,main
2020-03-13,MKM Partners,Neutral,,main
2020-03-13,Credit Suisse,Underperform,,main
2020-03-13,B. Riley FBR,Neutral,,main
2020-03-16,Morgan Stanley,Underweight,,main
2020-03-16,Wells Fargo,Equal-Weight,,main
2020-03-19,Morgan Stanley,Underweight,,main
2020-03-26,B. Riley FBR,Neutral,,main
2020-03-30,Wells Fargo,Underweight,Equal-Weight,down
2020-04-23,Morgan Stanley,Equal-Weight,Underweight,up
2020-04-24,RBC Capital,Sector Perform,,main
2020-04-30,UBS,Neutral,,main
2020-05-12,Morgan Stanley,Equal-Weight,,main
2020-05-19,B. Riley FBR,Neutral,,main
2020-05-28,Wedbush,Neutral,,main
2020-06-01,JP Morgan,Neutral,Underweight,up
2020-06-05,MKM Partners,Neutral,,main
2020-06-08,Deutsche Bank,Hold,,main
2020-06-10,Morgan Stanley,Equal-Weight,,main
2020-06-11,UBS,Neutral,,main
2020-06-22,Wells Fargo,Overweight,Equal-Weight,up
2020-06-29,Deutsche Bank,Hold,,main
2020-07-15,RBC Capital,Outperform,Sector Perform,up
2020-08-25,Citigroup,Buy,Neutral,up
2020-08-28,B of A Securities,Neutral,Underperform,up
2020-09-01,UBS,Neutral,,main
2020-09-01,Morgan Stanley,Equal-Weight,,main
2020-10-07,Barclays,Overweight,Underweight,up
2020-10-14,Morgan Stanley,Equal-Weight,,main
2020-10-15,B of A Securities,Neutral,,main
2020-10-23,MKM Partners,Neutral,,main
2020-10-28,Morgan Stanley,Equal-Weight,,main
2020-11-20,Morgan Stanley,Equal-Weight,,main
2020-11-23,JP Morgan,Overweight,Neutral,up
2020-11-25,Credit Suisse,Underperform,,main
2020-11-25,B of A Securities,Neutral,,main
2020-11-25,Citigroup,Neutral,Buy,down
2021-02-24,Morgan Stanley,Equal-Weight,,main
2021-03-05,Morgan Stanley,Equal-Weight,,main
2021-03-15,Wells Fargo,Overweight,,main
2021-05-18,Credit Suisse,Neutral,Underperform,up
2021-05-25,Telsey Advisory Group,Market Perform,,main
2021-05-25,Morgan Stanley,Equal-Weight,,main
2021-05-28,Telsey Advisory Group,Market Perform,,main
2021-07-14,Goldman Sachs,Neutral,,init
2021-07-26,Deutsche Bank,Buy,Hold,up
2021-08-27,Telsey Advisory Group,Market Perform,,main
2021-10-15,Wells Fargo,Overweight,,main
2021-11-10,Deutsche Bank,Buy,,main
2021-11-24,B of A Securities,Neutral,,main
2021-11-24,MKM Partners,Neutral,,main
2021-11-24,Morgan Stanley,Equal-Weight,,main
2021-11-24,Credit Suisse,Neutral,,main
2021-11-24,Goldman Sachs,Neutral,,main
2021-11-24,Wells Fargo,Overweight,,main
2021-11-24,JP Morgan,Neutral,Overweight,down
2021-11-24,Telsey Advisory Group,Market Perform,,main
2021-11-24,B. Riley Securities,Neutral,,main
