Date,Firm,To Grade,From Grade,Action
2016-12-01,Stifel Nicolaus,Buy,,main
2017-01-25,Buckingham,Neutral,,init
2017-01-25,Telsey Advisory Group,Outperform,Market Perform,up
2017-03-02,Bank of America,Neutral,Buy,down
2017-04-18,B. Riley FBR,Neutral,Buy,down
2017-08-15,FBR Capital,Buy,Neutral,up
2017-08-24,Buckingham,Neutral,,main
2018-01-11,Buckingham,Buy,Neutral,up
2018-03-09,Morgan Stanley,Underweight,Underweight,main
2018-03-09,Bank of America,Neutral,Neutral,main
2018-03-09,Buckingham,Buy,Buy,main
2018-03-09,Citigroup,Neutral,Neutral,main
2018-03-23,Loop Capital,Buy,,init
2018-05-11,Wedbush,Outperform,,init
2018-05-21,SunTrust Robinson Humphrey,Hold,Buy,down
2018-06-01,Citigroup,Neutral,Neutral,main
2018-06-01,Morgan Stanley,Underweight,Underweight,main
2018-06-04,B. Riley FBR,Buy,Buy,main
2018-06-21,UBS,Buy,,init
2018-08-27,Wedbush,Neutral,Outperform,down
2018-08-30,Bank of America,Neutral,Neutral,main
2018-08-30,UBS,Buy,Buy,main
2018-10-15,Wedbush,Outperform,Neutral,up
2018-10-19,Citigroup,Buy,Neutral,up
2018-11-26,Deutsche Bank,Buy,Hold,up
2019-05-09,Wedbush,Neutral,Outperform,down
2019-05-09,RBC Capital,Sector Perform,Outperform,down
2019-09-05,Morgan Stanley,Underweight,,main
2019-09-05,Cowen & Co.,Outperform,,main
2019-09-05,Citigroup,Buy,,main
2019-09-18,DA Davidson,Buy,,init
2019-10-28,Citigroup,Neutral,Buy,down
2019-11-13,Barclays,Equal-Weight,,init
2019-11-25,Loop Capital,Hold,Buy,down
2019-12-12,RBC Capital,Sector Perform,,main
2020-02-03,Telsey Advisory Group,Market Perform,Outperform,down
2020-02-04,BMO Capital,Market Perform,,init
2020-02-18,Cowen & Co.,Market Perform,Outperform,down
2020-03-05,CFRA,Buy,,main
2020-03-05,JP Morgan,Neutral,,main
2020-03-05,Deutsche Bank,Buy,,reit
2020-03-10,B. Riley FBR,Buy,,main
2020-03-11,Wedbush,Outperform,Neutral,up
2020-03-26,B. Riley FBR,Buy,,main
2020-04-01,Raymond James,Market Perform,,init
2020-04-15,Loop Capital,Sell,Hold,down
