,2022-04-30,2022-01-29,2021-10-30,2021-07-31
Change To Liabilities,4579000.0,-93555000.0,92991000.0,-10572000.0
Total Cashflows From Investing Activities,-58660000.0,-445824000.0,-8373000.0,-28217000.0
Total Cash From Financing Activities,-38355000.0,-30377000.0,-36767000.0,-35928000.0
Change To Operating Activities,-95182000.0,-57952000.0,-34765000.0,-2616000.0
Issuance Of Stock,425000.0,425000.0,425000.0,979000.0
Net Income,31740000.0,50428000.0,152224000.0,121511000.0
Change In Cash,-205995000.0,-305898000.0,-33326000.0,57315000.0
Repurchase Of Stock,-8171000.0,-55000.0,-6452000.0,-6567000.0
Effect Of Exchange Rate,-733000.0,333000.0,333000.0,333000.0
Total Cash From Operating Activities,-108247000.0,169970000.0,11814000.0,121460000.0
Depreciation,48648000.0,43845000.0,42084000.0,41525000.0
Other Cashflows From Investing Activities,-266000.0,1769000.0,-173000.0,-3818000.0
Dividends Paid,-30392000.0,-30352000.0,-30354000.0,-30317000.0
Change To Inventory,-128879000.0,186731000.0,-237432000.0,-36669000.0
Other Cashflows From Financing Activities,-217000.0,30000.0,39000.0,-23000.0
Change To Netincome,30847000.0,40473000.0,-3288000.0,8278000.0
Capital Expenditures,-58394000.0,-89442000.0,-58200000.0,-49399000.0
Investments,,,50000000.0,25000000.0
